country,year,consum,iso3c
Afghanistan,1980,40832.96739,AFG
Afghanistan,1981,40995.64888,AFG
Afghanistan,1982,40896.08108,AFG
Afghanistan,1983,39525.73105,AFG
Afghanistan,1984,36458.50383,AFG
Afghanistan,1985,34307.79855,AFG
Afghanistan,1986,30976.54778,AFG
Afghanistan,1987,30784.51084,AFG
Afghanistan,1988,29768.17641,AFG
Afghanistan,1989,27749.22234,AFG
Afghanistan,1990,26927.18012,AFG
Afghanistan,1991,26307.78247,AFG
Afghanistan,1992,26110.3416,AFG
Afghanistan,1993,26078.37179,AFG
Afghanistan,1994,26876.07175,AFG
Afghanistan,1995,28212.36642,AFG
Afghanistan,1996,30806.80511,AFG
Afghanistan,1997,33458.70139,AFG
Afghanistan,1998,35387.35914,AFG
Afghanistan,1999,37636.86734,AFG
Afghanistan,2000,33040.20859,AFG
Afghanistan,2001,30474.85673,AFG
Afghanistan,2002,37351.72607,AFG
Afghanistan,2003,39561.58948,AFG
Afghanistan,2004,37941.01893,AFG
Afghanistan,2005,40730.00108,AFG
Afghanistan,2006,39682.69136,AFG
Afghanistan,2007,41890.06239,AFG
Afghanistan,2008,43182.26791,AFG
Afghanistan,2009,50919.99798,AFG
Afghanistan,2010,54831.00821,AFG
Albania,1980,24057.15874,ALB
Albania,1981,24220.36621,ALB
Albania,1982,22776.47721,ALB
Albania,1983,23352.37176,ALB
Albania,1984,24260.48604,ALB
Albania,1985,23783.87458,ALB
Albania,1986,24891.43038,ALB
Albania,1987,25356.61441,ALB
Albania,1988,24908.03409,ALB
Albania,1989,26882.28023,ALB
Albania,1990,23536.83027,ALB
Albania,1991,17774.50194,ALB
Albania,1992,11514.29546,ALB
Albania,1993,11514.73114,ALB
Albania,1994,14189.19182,ALB
Albania,1995,17512.93252,ALB
Albania,1996,12897.28164,ALB
Albania,1997,11035.38971,ALB
Albania,1998,11224.09355,ALB
Albania,1999,11728.26111,ALB
Albania,2000,12098.33215,ALB
Albania,2001,11703.38967,ALB
Albania,2002,12413.98415,ALB
Albania,2003,17731.79044,ALB
Albania,2004,17978.40626,ALB
Albania,2005,18641.55412,ALB
Albania,2006,22085.09525,ALB
Albania,2007,24326.08162,ALB
Albania,2008,24314.57882,ALB
Albania,2009,30907.2061,ALB
Albania,2010,24075.93117,ALB
Algeria,1980,85516.06556,DZA
Algeria,1981,97138.79812,DZA
Algeria,1982,110378.4614,DZA
Algeria,1983,120760.5843,DZA
Algeria,1984,123213.3106,DZA
Algeria,1985,141363.0464,DZA
Algeria,1986,140649.9906,DZA
Algeria,1987,136715.0506,DZA
Algeria,1988,131582.3679,DZA
