country,year,consum,iso3c
Afghanistan,1980,3.0908,AFG
Afghanistan,1981,3.1542,AFG
Afghanistan,1982,3.2286,AFG
Afghanistan,1983,3.219,AFG
Afghanistan,1984,3.0604,AFG
Afghanistan,1985,2.9499,AFG
Afghanistan,1986,2.708,AFG
Afghanistan,1987,2.7152,AFG
Afghanistan,1988,2.6168,AFG
Afghanistan,1989,2.3905,AFG
Afghanistan,1990,2.2313,AFG
Afghanistan,1991,2.0571,AFG
Afghanistan,1992,1.8995,AFG
Afghanistan,1993,1.7592,AFG
Afghanistan,1994,1.6935,AFG
Afghanistan,1995,1.682,AFG
Afghanistan,1996,1.7622,AFG
Afghanistan,1997,1.8553,AFG
Afghanistan,1998,1.9117,AFG
Afghanistan,1999,1.9769,AFG
Afghanistan,2000,1.677,AFG
Afghanistan,2001,1.4843,AFG
Afghanistan,2002,1.7383,AFG
Afghanistan,2003,1.7577,AFG
Afghanistan,2004,1.6145,AFG
Afghanistan,2005,1.6693,AFG
Afghanistan,2006,1.5757,AFG
Afghanistan,2007,1.6188,AFG
Afghanistan,2008,1.6277,AFG
Afghanistan,2009,1.8716,AFG
Afghanistan,2010,1.9609,AFG
Albania,1980,8.9732,ALB
Albania,1981,8.8557,ALB
Albania,1982,8.1695,ALB
Albania,1983,8.214,ALB
Albania,1984,8.3599,ALB
Albania,1985,8.0161,ALB
Albania,1986,8.1853,ALB
Albania,1987,8.1245,ALB
Albania,1988,7.7911,ALB
Albania,1989,8.2613,ALB
Albania,1990,7.1737,ALB
Albania,1991,5.4273,ALB
Albania,1992,3.5527,ALB
Albania,1993,3.6096,ALB
Albania,1994,4.5174,ALB
Albania,1995,5.6366,ALB
Albania,1996,4.1712,ALB
Albania,1997,3.569,ALB
Albania,1998,3.6172,ALB
Albania,1999,3.7651,ALB
Albania,2000,3.8752,ALB
Albania,2001,3.7463,ALB
Albania,2002,3.975,ALB
Albania,2003,5.6887,ALB
Albania,2004,5.792,ALB
Albania,2005,6.0485,ALB
Albania,2006,7.2386,ALB
Albania,2007,8.0791,ALB
Albania,2008,8.1922,ALB
Albania,2009,10.5485,ALB
Albania,2010,8.2963,ALB
Algeria,1980,4.4222,DZA
Algeria,1981,4.8706,DZA
Algeria,1982,5.3644,DZA
Algeria,1983,5.6887,DZA
Algeria,1984,5.6277,DZA
Algeria,1985,6.2644,DZA
Algeria,1986,6.0518,DZA
Algeria,1987,5.716,DZA
Algeria,1988,5.3508,DZA
Algeria,1989,5.5379,DZA
Algeria,1990,4.9523,DZA
Algeria,1991,4.8067,DZA
Algeria,1992,4.9339,DZA
Algeria,1993,4.4463,DZA
Algeria,1994,4.5523,DZA
Algeria,1995,4.9593,DZA
Algeria,1996,4.539,DZA
Algeria,1997,4.123,DZA
Algeria,1998,4.5969,DZA
Algeria,1999,5.182,DZA
Algeria,2000,4.3576,DZA
Algeria,2001,4.6099,DZA
Algeria,2002,5.0564,DZA
Algeria,2003,5.5715,DZA
Algeria,2004,5.6814,DZA
Algeria,2005,5.6012,DZA
Algeria,2006,6.2446,DZA
Algeria,2007,6.111,DZA
Algeria,2008,7.2327,DZA
Algeria,2009,7.7568,DZA
Algeria,2010,6.7336,DZA
Angola,1980,2.9233,AGO
Angola,1981,2.8838,AGO
Angola,1982,2.7094,AGO
Angola,1983,2.5372,AGO
Angola,1984,2.5641,AGO
Angola,1985,2.5295,AGO
Angola,1986,2.2511,AGO
Angola,1987,2.2205,AGO
Angola,1988,2.8641,AGO
Angola,1989,2.8732,AGO
Angola,1990,2.2545,AGO
Angola,1991,2.2011,AGO
Angola,1992,2.2851,AGO
Angola,1993,1.8345,AGO
Angola,1994,1.8829,AGO
Angola,1995,2.5508,AGO
Angola,1996,2.5263,AGO
Angola,1997,2.1601,AGO
Angola,1998,2.6588,AGO
Angola,1999,2.7685,AGO
Angola,2000,2.7421,AGO
Angola,2001,3.2565,AGO
Angola,2002,3.1943,AGO
Angola,2003,3.3847,AGO
Angola,2004,3.4306,AGO
Angola,2005,3.9062,AGO
Angola,2006,4.1033,AGO
Angola,2007,4.4421,AGO
Angola,2008,4.4737,AGO
Angola,2009,4.7299,AGO
Angola,2010,6.4727,AGO
Antigua and Barbuda,1980,5.5693,ATG
Antigua and Barbuda,1981,6.9471,ATG
Antigua and Barbuda,1982,5.8519,ATG
Antigua and Barbuda,1983,5.9496,ATG
Antigua and Barbuda,1984,6.1918,ATG
Antigua and Barbuda,1985,6.6397,ATG
Antigua and Barbuda,1986,6.9783,ATG
Antigua and Barbuda,1987,7.438,ATG
Antigua and Barbuda,1988,7.7248,ATG
Antigua and Barbuda,1989,7.9096,ATG
Antigua and Barbuda,1990,8.0081,ATG
Antigua and Barbuda,1991,8.1603,ATG
Antigua and Barbuda,1992,8.1469,ATG
Antigua and Barbuda,1993,8.2125,ATG
Antigua and Barbuda,1994,8.3259,ATG
Antigua and Barbuda,1995,7.9606,ATG
Antigua and Barbuda,1996,8.0558,ATG
Antigua and Barbuda,1997,13.5038,ATG
Antigua and Barbuda,1998,13.3891,ATG
Antigua and Barbuda,1999,13.3519,ATG
Antigua and Barbuda,2000,13.1975,ATG
Antigua and Barbuda,2001,12.5811,ATG
Antigua and Barbuda,2002,12.2593,ATG
Antigua and Barbuda,2003,12.09,ATG
Antigua and Barbuda,2004,10.7728,ATG
Antigua and Barbuda,2005,11.3759,ATG
Antigua and Barbuda,2006,11.9782,ATG
Antigua and Barbuda,2007,12.3127,ATG
Antigua and Barbuda,2008,12.2945,ATG
Antigua and Barbuda,2009,18.4192,ATG
Antigua and Barbuda,2010,9.538,ATG
Argentina,1980,15.6045,ARG
Argentina,1981,15.0878,ARG
Argentina,1982,14.4426,ARG
Argentina,1983,14.0019,ARG
Argentina,1984,13.954,ARG
Argentina,1985,13.0355,ARG
Argentina,1986,13.2407,ARG
Argentina,1987,13.1928,ARG
Argentina,1988,13.1405,ARG
Argentina,1989,12.2567,ARG
Argentina,1990,11.7608,ARG
Argentina,1991,12.0854,ARG
Argentina,1992,12.3972,ARG
Argentina,1993,12.2695,ARG
Argentina,1994,12.5445,ARG
Argentina,1995,12.0996,ARG
Argentina,1996,12.0257,ARG
Argentina,1997,12.6346,ARG
Argentina,1998,13.3722,ARG
Argentina,1999,13.6281,ARG
Argentina,2000,12.7898,ARG
Argentina,2001,12.5246,ARG
Argentina,2002,12.0581,ARG
Argentina,2003,13.0654,ARG
Argentina,2004,13.4833,ARG
Argentina,2005,13.861,ARG
Argentina,2006,14.4441,ARG
Argentina,2007,14.9723,ARG
Argentina,2008,14.7152,ARG
Argentina,2009,13.648,ARG
Argentina,2010,14.051,ARG
Armenia,1980,0,ARM
Armenia,1981,0,ARM
Armenia,1982,0,ARM
Armenia,1983,0,ARM
Armenia,1984,0,ARM
Armenia,1985,0,ARM
Armenia,1986,0,ARM
Armenia,1987,0,ARM
Armenia,1988,0,ARM
Armenia,1989,0,ARM
Armenia,1990,0,ARM
Armenia,1991,0,ARM
Armenia,1992,3.3866,ARM
Armenia,1993,2.4973,ARM
Armenia,1994,2.3265,ARM
Armenia,1995,3.3353,ARM
Armenia,1996,3.8728,ARM
Armenia,1997,3.6447,ARM
Armenia,1998,4.4124,ARM
Armenia,1999,4.4066,ARM
Armenia,2000,4.5058,ARM
Armenia,2001,4.8476,ARM
Armenia,2002,5.1247,ARM
Armenia,2003,5.1504,ARM
Armenia,2004,5.4719,ARM
Armenia,2005,5.709,ARM
Armenia,2006,6.4992,ARM
Armenia,2007,6.8518,ARM
Armenia,2008,7.9461,ARM
Armenia,2009,7.5049,ARM
Armenia,2010,7.7676,ARM
Australia,1980,40.2046,AUS
Australia,1981,40.3969,AUS
Australia,1982,39.5225,AUS
Australia,1983,38.4445,AUS
Australia,1984,38.2988,AUS
Australia,1985,37.8302,AUS
Australia,1986,39.1413,AUS
Australia,1987,40.4785,AUS
Australia,1988,40.2785,AUS
Australia,1989,44.1732,AUS
Australia,1990,45.9262,AUS
Australia,1991,43.6985,AUS
Australia,1992,44.3737,AUS
Australia,1993,44.757,AUS
Australia,1994,43.3315,AUS
Australia,1995,45.4026,AUS
Australia,1996,48.7008,AUS
Australia,1997,48.2232,AUS
Australia,1998,50.6284,AUS
Australia,1999,49.8801,AUS
Australia,2000,50.8979,AUS
Australia,2001,51.1993,AUS
Australia,2002,48.9794,AUS
Australia,2003,51.0125,AUS
Australia,2004,49.2047,AUS
Australia,2005,50.9579,AUS
Australia,2006,47.6983,AUS
Australia,2007,48.1442,AUS
Australia,2008,47.0955,AUS
Australia,2009,45.2416,AUS
Australia,2010,44.1283,AUS
Austria,1980,22.4963,AUT
Austria,1981,22.0056,AUT
Austria,1982,21.3734,AUT
Austria,1983,20.6218,AUT
Austria,1984,21.6243,AUT
Austria,1985,21.1051,AUT
Austria,1986,21.1558,AUT
Austria,1987,21.2845,AUT
Austria,1988,21.5859,AUT
Austria,1989,22.3668,AUT
Austria,1990,22.6426,AUT
Austria,1991,22.669,AUT
Austria,1992,23.5784,AUT
Austria,1993,22.7613,AUT
Austria,1994,22.1346,AUT
Austria,1995,22.4366,AUT
Austria,1996,22.9009,AUT
Austria,1997,22.5287,AUT
Austria,1998,21.6733,AUT
Austria,1999,21.8642,AUT
Austria,2000,21.6411,AUT
Austria,2001,21.0186,AUT
Austria,2002,22.6094,AUT
Austria,2003,22.6475,AUT
Austria,2004,23.1114,AUT
Austria,2005,23.8149,AUT
Austria,2006,24.4642,AUT
Austria,2007,24.7426,AUT
Austria,2008,22.7851,AUT
Austria,2009,21.4897,AUT
Austria,2010,21.5446,AUT
Azerbaijan,1980,0,AZE
Azerbaijan,1981,0,AZE
Azerbaijan,1982,0,AZE
Azerbaijan,1983,0,AZE
Azerbaijan,1984,0,AZE
Azerbaijan,1985,0,AZE
Azerbaijan,1986,0,AZE
Azerbaijan,1987,0,AZE
Azerbaijan,1988,0,AZE
Azerbaijan,1989,0,AZE
Azerbaijan,1990,0,AZE
Azerbaijan,1991,0,AZE
Azerbaijan,1992,5.0334,AZE
Azerbaijan,1993,4.429,AZE
Azerbaijan,1994,3.8059,AZE
Azerbaijan,1995,3.3337,AZE
Azerbaijan,1996,3.306,AZE
Azerbaijan,1997,3.3533,AZE
Azerbaijan,1998,3.6025,AZE
Azerbaijan,1999,3.6721,AZE
Azerbaijan,2000,3.7651,AZE
Azerbaijan,2001,3.8057,AZE
Azerbaijan,2002,4.4703,AZE
Azerbaijan,2003,5.0698,AZE
Azerbaijan,2004,5.9775,AZE
Azerbaijan,2005,7.6049,AZE
Azerbaijan,2006,8.7712,AZE
Azerbaijan,2007,10.5208,AZE
Azerbaijan,2008,3.5819,AZE
Azerbaijan,2009,9.1706,AZE
Azerbaijan,2010,8.4994,AZE
Bahamas,1980,122.4178,BHS
Bahamas,1981,21.4276,BHS
Bahamas,1982,31.0426,BHS
Bahamas,1983,11.1782,BHS
Bahamas,1984,17.0744,BHS
Bahamas,1985,3.9383,BHS
Bahamas,1986,-22.6959,BHS
Bahamas,1987,8.2947,BHS
Bahamas,1988,-20.9504,BHS
Bahamas,1989,-4.2546,BHS
Bahamas,1990,-1.2754,BHS
Bahamas,1991,1.5015,BHS
Bahamas,1992,2.4046,BHS
Bahamas,1993,4.7233,BHS
Bahamas,1994,6.9877,BHS
Bahamas,1995,9.3212,BHS
Bahamas,1996,11.4557,BHS
Bahamas,1997,13.5999,BHS
Bahamas,1998,14.3672,BHS
Bahamas,1999,21.0296,BHS
Bahamas,2000,16.6755,BHS
Bahamas,2001,28.7783,BHS
Bahamas,2002,20.562,BHS
Bahamas,2003,18.9029,BHS
Bahamas,2004,16.9272,BHS
Bahamas,2005,14.9507,BHS
Bahamas,2006,15.0993,BHS
Bahamas,2007,3.0836,BHS
Bahamas,2008,2.212,BHS
Bahamas,2009,5.5403,BHS
Bahamas,2010,7.9575,BHS
Bahrain,1980,44.627,BHR
Bahrain,1981,45.9135,BHR
Bahrain,1982,42.7648,BHR
Bahrain,1983,39.8562,BHR
Bahrain,1984,42.3346,BHR
Bahrain,1985,39.5461,BHR
Bahrain,1986,47.7598,BHR
Bahrain,1987,40.4746,BHR
Bahrain,1988,40.5996,BHR
Bahrain,1989,40.2197,BHR
Bahrain,1990,40.3793,BHR
Bahrain,1991,38.1283,BHR
Bahrain,1992,39.8717,BHR
Bahrain,1993,41.4463,BHR
Bahrain,1994,39.2338,BHR
Bahrain,1995,47.8184,BHR
Bahrain,1996,37.5948,BHR
Bahrain,1997,34.46,BHR
Bahrain,1998,31.0723,BHR
Bahrain,1999,27.072,BHR
Bahrain,2000,31.4508,BHR
Bahrain,2001,26.0414,BHR
Bahrain,2002,25.812,BHR
Bahrain,2003,24.7143,BHR
Bahrain,2004,23.9194,BHR
Bahrain,2005,33.8165,BHR
Bahrain,2006,30.3138,BHR
Bahrain,2007,27.2162,BHR
Bahrain,2008,26.8471,BHR
Bahrain,2009,34.2038,BHR
Bahrain,2010,24.8821,BHR
Bangladesh,1980,1.6303,BGD
Bangladesh,1981,1.5677,BGD
Bangladesh,1982,1.5671,BGD
Bangladesh,1983,1.5614,BGD
Bangladesh,1984,1.5453,BGD
Bangladesh,1985,1.5753,BGD
Bangladesh,1986,1.5118,BGD
Bangladesh,1987,1.5008,BGD
Bangladesh,1988,1.5028,BGD
Bangladesh,1989,1.4948,BGD
Bangladesh,1990,1.489,BGD
Bangladesh,1991,1.4703,BGD
