country,year,extract,iso3c
Afghanistan,1980,45718.99,AFG
Afghanistan,1981,45755.06,AFG
Afghanistan,1982,45607.21,AFG
Afghanistan,1983,44146.85,AFG
Afghanistan,1984,40972.92,AFG
Afghanistan,1985,38708.98,AFG
Afghanistan,1986,35288.32,AFG
Afghanistan,1987,34919.56,AFG
Afghanistan,1988,33653.54,AFG
Afghanistan,1989,31340,AFG
Afghanistan,1990,30460.92,AFG
Afghanistan,1991,29704.51,AFG
Afghanistan,1992,28787.44,AFG
Afghanistan,1993,29146.88,AFG
Afghanistan,1994,30073.5,AFG
Afghanistan,1995,31521.76,AFG
Afghanistan,1996,33845.01,AFG
Afghanistan,1997,36553.31,AFG
Afghanistan,1998,38649.02,AFG
Afghanistan,1999,40574.6,AFG
Afghanistan,2000,35562.81,AFG
Afghanistan,2001,33352.98,AFG
Afghanistan,2002,40743.18,AFG
Afghanistan,2003,43103.35,AFG
Afghanistan,2004,41534.32,AFG
Afghanistan,2005,44657.2,AFG
Afghanistan,2006,43670.69,AFG
Afghanistan,2007,47158.98,AFG
Afghanistan,2008,47605.81,AFG
Afghanistan,2009,54512.27,AFG
Afghanistan,2010,58945.57,AFG
Afghanistan,2011,58155.51,AFG
Afghanistan,2012,60933.19,AFG
Afghanistan,2013,61618.89,AFG
Albania,1980,33183.89,ALB
Albania,1981,33614.4,ALB
Albania,1982,32940.51,ALB
Albania,1983,34233.11,ALB
Albania,1984,35684.46,ALB
Albania,1985,36142.11,ALB
Albania,1986,37830.54,ALB
Albania,1987,38280.25,ALB
Albania,1988,38011.7,ALB
Albania,1989,40257.69,ALB
Albania,1990,35541.94,ALB
Albania,1991,24662.45,ALB
Albania,1992,14983.1,ALB
Albania,1993,14528.65,ALB
Albania,1994,15599.58,ALB
Albania,1995,18950.48,ALB
Albania,1996,13975.15,ALB
Albania,1997,11941.71,ALB
Albania,1998,11647,ALB
Albania,1999,11486.29,ALB
Albania,2000,11640.79,ALB
Albania,2001,10760.91,ALB
Albania,2002,11137.49,ALB
Albania,2003,16932.3,ALB
Albania,2004,17687.17,ALB
Albania,2005,17978.56,ALB
Albania,2006,21498.57,ALB
Albania,2007,25077.44,ALB
Albania,2008,25578.18,ALB
Albania,2009,31346.12,ALB
Albania,2010,26622.77,ALB
Albania,2011,28276.1,ALB
Albania,2012,25727.75,ALB
Albania,2013,25356.65,ALB
Algeria,1980,155308.67,DZA
Algeria,1981,155997.94,DZA
Algeria,1982,166571.95,DZA
Algeria,1983,178481.68,DZA
Algeria,1984,188390.32,DZA
Algeria,1985,198386.06,DZA
Algeria,1986,211913.54,DZA
Algeria,1987,208103.15,DZA
Algeria,1988,208332.68,DZA
Algeria,1989,217434.61,DZA
Algeria,1990,212723.94,DZA
Algeria,1991,218496.88,DZA
Algeria,1992,222224.45,DZA
Algeria,1993,216130.67,DZA
Algeria,1994,208978.54,DZA
Algeria,1995,224934.73,DZA
Algeria,1996,232630.43,DZA
Algeria,1997,229411.36,DZA
Algeria,1998,242010.84,DZA
Algeria,1999,252477.14,DZA
Algeria,2000,264497.61,DZA
Algeria,2001,263228.08,DZA
Algeria,2002,281617.28,DZA
Algeria,2003,311633.89,DZA
Algeria,2004,322774.87,DZA
Algeria,2005,344131.72,DZA
Algeria,2006,362318.75,DZA
Algeria,2007,371413.28,DZA
Algeria,2008,380781.71,DZA
Algeria,2009,389795.12,DZA
Algeria,2010,402472.92,DZA
Algeria,2011,388487.86,DZA
Algeria,2012,400727.53,DZA
Algeria,2013,400594.43,DZA
American Samoa,1980,35.37,ASM
American Samoa,1981,35.65,ASM
American Samoa,1982,36.59,ASM
American Samoa,1983,36.81,ASM
American Samoa,1984,36.48,ASM
American Samoa,1985,36.08,ASM
American Samoa,1986,37.29,ASM
American Samoa,1987,36.44,ASM
American Samoa,1988,37.34,ASM
American Samoa,1989,38.57,ASM
American Samoa,1990,39.41,ASM
American Samoa,1991,37.37,ASM
American Samoa,1992,38.29,ASM
American Samoa,1993,39.84,ASM
American Samoa,1994,39.61,ASM
American Samoa,1995,41,ASM
American Samoa,1996,44.87,ASM
American Samoa,1997,45.54,ASM
American Samoa,1998,61.22,ASM
American Samoa,1999,49.02,ASM
American Samoa,2000,51.56,ASM
American Samoa,2001,55.45,ASM
American Samoa,2002,61.29,ASM
American Samoa,2003,66.77,ASM
American Samoa,2004,64.55,ASM
American Samoa,2005,70.15,ASM
American Samoa,2006,69.12,ASM
American Samoa,2007,67.95,ASM
American Samoa,2008,69.22,ASM
American Samoa,2009,70.8,ASM
American Samoa,2010,73.5,ASM
American Samoa,2011,69.56,ASM
American Samoa,2012,71.76,ASM
American Samoa,2013,72.02,ASM
Angola,1980,55198.04,AGO
Angola,1981,52912.45,AGO
Angola,1982,49900.01,AGO
Angola,1983,49499.15,AGO
Angola,1984,50391.58,AGO
Angola,1985,49050.36,AGO
Angola,1986,44576.72,AGO
Angola,1987,48208.8,AGO
Angola,1988,72880.8,AGO
Angola,1989,76862.98,AGO
Angola,1990,72722.36,AGO
Angola,1991,69894.94,AGO
Angola,1992,77949.19,AGO
Angola,1993,56335.36,AGO
Angola,1994,62416.77,AGO
Angola,1995,111704.96,AGO
Angola,1996,110680.54,AGO
Angola,1997,91235.66,AGO
Angola,1998,123054.21,AGO
Angola,1999,138967.42,AGO
Angola,2000,151367.27,AGO
Angola,2001,170654.22,AGO
Angola,2002,180245.96,AGO
Angola,2003,193895.97,AGO
Angola,2004,210848.39,AGO
Angola,2005,250695.15,AGO
Angola,2006,299408.15,AGO
Angola,2007,330636.62,AGO
Angola,2008,334814.8,AGO
Angola,2009,343729.75,AGO
Angola,2010,326406.95,AGO
Angola,2011,320804.89,AGO
Angola,2012,321044.54,AGO
Angola,2013,351852.6,AGO
Anguilla,1980,35.57,AIA
Anguilla,1981,36.36,AIA
Anguilla,1982,36.11,AIA
Anguilla,1983,36.16,AIA
Anguilla,1984,37.15,AIA
Anguilla,1985,40.05,AIA
Anguilla,1986,43.5,AIA
Anguilla,1987,46.51,AIA
Anguilla,1988,53.43,AIA
Anguilla,1989,56.51,AIA
Anguilla,1990,60.87,AIA
Anguilla,1991,59.54,AIA
Anguilla,1992,67.08,AIA
Anguilla,1993,68.51,AIA
Anguilla,1994,75.38,AIA
Anguilla,1995,74.82,AIA
Anguilla,1996,75.48,AIA
Anguilla,1997,78.13,AIA
Anguilla,1998,86,AIA
Anguilla,1999,87.13,AIA
Anguilla,2000,87.56,AIA
Anguilla,2001,88.28,AIA
Anguilla,2002,92.18,AIA
Anguilla,2003,94.09,AIA
Anguilla,2004,98.53,AIA
Anguilla,2005,108.49,AIA
Anguilla,2006,116.93,AIA
Anguilla,2007,121.43,AIA
Anguilla,2008,121.07,AIA
Anguilla,2009,117.6,AIA
Anguilla,2010,115.56,AIA
Anguilla,2011,117.79,AIA
Anguilla,2012,115.41,AIA
Anguilla,2013,115.33,AIA
Antigua and Barbuda,1980,409.27,ATG
