country,year,ptb,iso3c
Afghanistan,1980,0,AFG
Afghanistan,1981,0,AFG
Afghanistan,1982,0,AFG
Afghanistan,1983,0,AFG
Afghanistan,1984,0,AFG
Afghanistan,1985,0,AFG
Afghanistan,1986,0,AFG
Afghanistan,1987,0,AFG
Afghanistan,1988,0,AFG
Afghanistan,1989,0,AFG
Afghanistan,1990,0,AFG
Afghanistan,1991,0,AFG
Afghanistan,1992,0,AFG
Afghanistan,1993,0,AFG
Afghanistan,1994,0,AFG
Afghanistan,1995,0,AFG
Afghanistan,1996,0,AFG
Afghanistan,1997,0,AFG
Afghanistan,1998,0,AFG
Afghanistan,1999,0,AFG
Afghanistan,2000,0,AFG
Afghanistan,2001,0,AFG
Afghanistan,2002,0,AFG
Afghanistan,2003,0,AFG
Afghanistan,2004,0,AFG
Afghanistan,2005,0,AFG
Afghanistan,2006,0,AFG
Afghanistan,2007,0,AFG
Afghanistan,2008,1078.181,AFG
Afghanistan,2009,3155.937,AFG
Albania,1980,0,ALB
Albania,1981,0,ALB
Albania,1982,0,ALB
Albania,1983,0,ALB
Albania,1984,0,ALB
Albania,1985,0,ALB
Albania,1986,0,ALB
Albania,1987,0,ALB
Albania,1988,0,ALB
Albania,1989,0,ALB
Albania,1990,0,ALB
Albania,1991,0,ALB
Albania,1992,0,ALB
Albania,1993,0,ALB
Albania,1994,1374.052,ALB
Albania,1995,1331.113,ALB
Albania,1996,1663.384,ALB
Albania,1997,1288.064,ALB
Albania,1998,1892.467,ALB
Albania,1999,2418.139,ALB
Albania,2000,2581.844,ALB
Albania,2001,3008.955,ALB
Albania,2002,3315.059,ALB
Albania,2003,3078.264,ALB
Albania,2004,3480.409,ALB
Albania,2005,3967.708,ALB
Albania,2006,3819.398,ALB
Albania,2007,2978.098,ALB
Albania,2008,2947.974,ALB
Albania,2009,3641.709,ALB
Algeria,1980,-45543.14,DZA
Algeria,1981,-36916.386,DZA
Algeria,1982,-34377.974,DZA
Algeria,1983,-35802.297,DZA
Algeria,1984,-42256.662,DZA
Algeria,1985,-30093.12,DZA
Algeria,1986,-44409.625,DZA
Algeria,1987,-44939.187,DZA
Algeria,1988,-51174.373,DZA
Algeria,1989,-51151.848,DZA
Algeria,1990,-59143.559,DZA
Algeria,1991,-64162.732,DZA
Algeria,1992,-60869.039,DZA
Algeria,1993,-67916.151,DZA
Algeria,1994,-56654.865,DZA
Algeria,1995,-56145.42,DZA
Algeria,1996,-70348.646,DZA
Algeria,1997,-79240.069,DZA
Algeria,1998,-73563.715,DZA
Algeria,1999,-63253.066,DZA
Algeria,2000,-99086.197,DZA
Algeria,2001,-88288.242,DZA
Algeria,2002,-89621.945,DZA
Algeria,2003,-96031.055,DZA
Algeria,2004,-99585.653,DZA
Algeria,2005,-118775.864,DZA
Algeria,2006,-109391.504,DZA
Algeria,2007,-120493.35,DZA
Algeria,2008,-87312.604,DZA
Algeria,2009,-76108.117,DZA
Angola,1980,-6353.059,AGO
Angola,1981,-5097.548,AGO
Angola,1982,-5133.065,AGO
Angola,1983,-7457.189,AGO
Angola,1984,-8777.642,AGO
Angola,1985,-9245.47,AGO
Angola,1986,-12555.421,AGO
Angola,1987,-15799.521,AGO
Angola,1988,-20958.801,AGO
Angola,1989,-20725.721,AGO
Angola,1990,-21839.942,AGO
Angola,1991,-22789.391,AGO
Angola,1992,-25177,AGO
Angola,1993,-23014,AGO
Angola,1994,-24794,AGO
Angola,1995,-28065,AGO
Angola,1996,-30794,AGO
Angola,1997,-32723,AGO
Angola,1998,-34386,AGO
Angola,1999,-34448,AGO
Angola,2000,-37074,AGO
Angola,2001,-34367,AGO
Angola,2002,-42060,AGO
Angola,2003,-40758,AGO
Angola,2004,-46598,AGO
Angola,2005,-58707,AGO
Angola,2006,-70590.232,AGO
Angola,2007,-81008.632,AGO
Angola,2008,-89033.32,AGO
Angola,2009,-82548.144,AGO
Antigua and Barbuda,1980,0,ATG
Antigua and Barbuda,1981,88.012,ATG
Antigua and Barbuda,1982,0,ATG
Antigua and Barbuda,1983,0,ATG
Antigua and Barbuda,1984,0,ATG
Antigua and Barbuda,1985,0,ATG
Antigua and Barbuda,1986,0,ATG
Antigua and Barbuda,1987,0,ATG
Antigua and Barbuda,1988,0,ATG
Antigua and Barbuda,1989,0,ATG
Antigua and Barbuda,1990,0,ATG
Antigua and Barbuda,1991,0,ATG
Antigua and Barbuda,1992,0,ATG
Antigua and Barbuda,1993,0,ATG
Antigua and Barbuda,1994,0,ATG
Antigua and Barbuda,1995,0,ATG
Antigua and Barbuda,1996,0,ATG
Antigua and Barbuda,1997,388.323,ATG
Antigua and Barbuda,1998,387.798,ATG
Antigua and Barbuda,1999,388.846,ATG
Antigua and Barbuda,2000,386.748,ATG
Antigua and Barbuda,2001,359.065,ATG
Antigua and Barbuda,2002,331.382,ATG
Antigua and Barbuda,2003,303.699,ATG
Antigua and Barbuda,2004,192.039,ATG
Antigua and Barbuda,2005,240.373,ATG
Antigua and Barbuda,2006,266.403,ATG
Antigua and Barbuda,2007,279.237,ATG
Antigua and Barbuda,2008,284.654,ATG
Antigua and Barbuda,2009,848.276,ATG
Argentina,1980,-8177.168,ARG
Argentina,1981,-19587.531,ARG
Argentina,1982,-18427.917,ARG
Argentina,1983,-28161.982,ARG
Argentina,1984,-23745.949,ARG
Argentina,1985,-31026.221,ARG
Argentina,1986,-20706.073,ARG
Argentina,1987,-11676.678,ARG
Argentina,1988,-17607.652,ARG
Argentina,1989,-17720.284,ARG
Argentina,1990,-31814.77,ARG
Argentina,1991,-25585.56,ARG
Argentina,1992,-25781.87,ARG
Argentina,1993,-24266.151,ARG
Argentina,1994,-29497.445,ARG
Argentina,1995,-40069.864,ARG
Argentina,1996,-42737.787,ARG
Argentina,1997,-47972.83,ARG
Argentina,1998,-58188.68,ARG
Argentina,1999,-57157.24,ARG
Argentina,2000,-60891.894,ARG
Argentina,2001,-70758.326,ARG
Argentina,2002,-75726.897,ARG
Argentina,2003,-77476.198,ARG
Argentina,2004,-69516.69,ARG
Argentina,2005,-77999.401,ARG
Argentina,2006,-73134.673,ARG
Argentina,2007,-75385.964,ARG
Argentina,2008,-67629.476,ARG
Argentina,2009,-59872.455,ARG
Armenia,1980,0,ARM
Armenia,1981,0,ARM
Armenia,1982,0,ARM
Armenia,1983,0,ARM
Armenia,1984,0,ARM
Armenia,1985,0,ARM
Armenia,1986,0,ARM
Armenia,1987,0,ARM
Armenia,1988,0,ARM
Armenia,1989,0,ARM
Armenia,1990,0,ARM
Armenia,1991,0,ARM
Armenia,1992,1691.962,ARM
Armenia,1993,1690.376,ARM
Armenia,1994,1656.415,ARM
Armenia,1995,1695.943,ARM
Armenia,1996,1725.113,ARM
Armenia,1997,1684.032,ARM
Armenia,1998,1686.22,ARM
Armenia,1999,1688.408,ARM
Armenia,2000,1841.795,ARM
Armenia,2001,1861.798,ARM
Armenia,2002,1753.129,ARM
Armenia,2003,1815.738,ARM
Armenia,2004,1945.176,ARM
Armenia,2005,2044.666,ARM
Armenia,2006,2124.227,ARM
Armenia,2007,2583.218,ARM
Armenia,2008,2862.741,ARM
Armenia,2009,2362.315,ARM
Australia,1980,-142321.183,AUS
Australia,1981,-141961.429,AUS
Australia,1982,-148039.529,AUS
Australia,1983,-157713.73,AUS
Australia,1984,-200904.594,AUS
Australia,1985,-221654.503,AUS
Australia,1986,-215366.892,AUS
Australia,1987,-220838.65,AUS
Australia,1988,-232033.41,AUS
Australia,1989,-235731.657,AUS
Australia,1990,-252091.401,AUS
Australia,1991,-284669.951,AUS
Australia,1992,-277990.247,AUS
Australia,1993,-290549.586,AUS
Australia,1994,-312176.186,AUS
Australia,1995,-317004.401,AUS
Australia,1996,-327687.434,AUS
Australia,1997,-367979.058,AUS
Australia,1998,-360544.994,AUS
Australia,1999,-367827.157,AUS
Australia,2000,-408545.95,AUS
Australia,2001,-412335.423,AUS
Australia,2002,-425097.64,AUS
Australia,2003,-448261.393,AUS
Australia,2004,-488434.245,AUS
Australia,2005,-528224.342,AUS
Australia,2006,-538264.454,AUS
Australia,2007,-562723.773,AUS
Australia,2008,-608042.964,AUS
Australia,2009,-684680.485,AUS
Austria,1980,21519.641,AUT
Austria,1981,20518.023,AUT
Austria,1982,18825.347,AUT
Austria,1983,16214.67,AUT
Austria,1984,20924.582,AUT
Austria,1985,20728.584,AUT
Austria,1986,20593.985,AUT
Austria,1987,20652.578,AUT
Austria,1988,20400.734,AUT
Austria,1989,20367.026,AUT
Austria,1990,21336.975,AUT
Austria,1991,24524.901,AUT
Austria,1992,24433.663,AUT
Austria,1993,22940.632,AUT
Austria,1994,23933.85,AUT
Austria,1995,26868.571,AUT
Austria,1996,29037.908,AUT
Austria,1997,20423.256,AUT
Austria,1998,20000.58,AUT
Austria,1999,19711.776,AUT
Austria,2000,20636.434,AUT
Austria,2001,20710.187,AUT
Austria,2002,21962.573,AUT
Austria,2003,31750.028,AUT
Austria,2004,31257.168,AUT
Austria,2005,35706.339,AUT
Austria,2006,37637.765,AUT
Austria,2007,34350.394,AUT
Austria,2008,31215.866,AUT
Austria,2009,31128.252,AUT
Azerbaijan,1980,0,AZE
Azerbaijan,1981,0,AZE
Azerbaijan,1982,0,AZE
Azerbaijan,1983,0,AZE
Azerbaijan,1984,0,AZE
Azerbaijan,1985,0,AZE
Azerbaijan,1986,0,AZE
Azerbaijan,1987,0,AZE
Azerbaijan,1988,0,AZE
Azerbaijan,1989,0,AZE
Azerbaijan,1990,0,AZE
Azerbaijan,1991,0,AZE
Azerbaijan,1992,-487.053,AZE
Azerbaijan,1993,640.615,AZE
Azerbaijan,1994,202.832,AZE
Azerbaijan,1995,-308.937,AZE
Azerbaijan,1996,-1278.355,AZE
Azerbaijan,1997,-1746.549,AZE
Azerbaijan,1998,-2206.447,AZE
Azerbaijan,1999,-4818.176,AZE
Azerbaijan,2000,-5266.114,AZE
Azerbaijan,2001,-8402.426,AZE
Azerbaijan,2002,-7433.978,AZE
Azerbaijan,2003,-4840.654,AZE
Azerbaijan,2004,-3300.923,AZE
Azerbaijan,2005,-321.433,AZE
Azerbaijan,2006,-3501.262,AZE
Azerbaijan,2007,-2774.732,AZE
Azerbaijan,2008,-73858.292,AZE
Azerbaijan,2009,-25986.486,AZE
Bahamas,1980,23117.283,BHS
Bahamas,1981,1620.943,BHS
Bahamas,1982,3928.449,BHS
Bahamas,1983,-449.343,BHS
Bahamas,1984,795.94,BHS
Bahamas,1985,-2605.597,BHS
Bahamas,1986,-8812.63,BHS
Bahamas,1987,-1534.501,BHS
Bahamas,1988,-8882.992,BHS
Bahamas,1989,-4621.298,BHS
Bahamas,1990,-4033.851,BHS
Bahamas,1991,-3446.404,BHS
Bahamas,1992,-2858.957,BHS
Bahamas,1993,-2271.51,BHS
Bahamas,1994,-1684.063,BHS
Bahamas,1995,-1096.616,BHS
Bahamas,1996,-509.169,BHS
Bahamas,1997,62.733,BHS
Bahamas,1998,153.843,BHS
Bahamas,1999,2084.913,BHS
Bahamas,2000,926.517,BHS
Bahamas,2001,4686.826,BHS
Bahamas,2002,2202.693,BHS
Bahamas,2003,1598.714,BHS
Bahamas,2004,994.735,BHS
Bahamas,2005,195.238,BHS
Bahamas,2006,586.274,BHS
Bahamas,2007,-2913.737,BHS
Bahamas,2008,-3076.453,BHS
Bahamas,2009,-2195.28,BHS
Bahrain,1980,1308.535,BHR
Bahrain,1981,1573.554,BHR
Bahrain,1982,3251.742,BHR
Bahrain,1983,3091.664,BHR
Bahrain,1984,3218.92,BHR
Bahrain,1985,2843.056,BHR
Bahrain,1986,4521.545,BHR
Bahrain,1987,1722.403,BHR
Bahrain,1988,1976.692,BHR
Bahrain,1989,2186.851,BHR
Bahrain,1990,2590.084,BHR
Bahrain,1991,2051.032,BHR
Bahrain,1992,2630.498,BHR
Bahrain,1993,3454.309,BHR
Bahrain,1994,2952.42,BHR
Bahrain,1995,8129.477,BHR
Bahrain,1996,2578.077,BHR
Bahrain,1997,626.835,BHR
